
---------- Begin Simulation Statistics ----------
simSeconds                                   0.120105                       # Number of seconds simulated (Second)
simTicks                                 120105003500                       # Number of ticks simulated (Tick)
finalTick                                120105003500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4077.55                       # Real time elapsed on the host (Second)
hostTickRate                                 29455206                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264352                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   245245                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277658                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        480420015                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480420                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.081512                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1235662247                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1943                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1195545341                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6832                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            103500552                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         282551374                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           480061850                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.490399                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.956877                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  82453304     17.18%     17.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92528381     19.27%     36.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90730166     18.90%     55.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79768109     16.62%     71.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53895001     11.23%     83.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43079393      8.97%     92.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19970712      4.16%     96.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9643212      2.01%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   7993572      1.67%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             480061850                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2659742     18.14%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     18.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     18.14% # attempts to use FU when none available (Count)
