
---------- Begin Simulation Statistics ----------
simSeconds                                   0.249747                       # Number of seconds simulated (Second)
simTicks                                 249746593500                       # Number of ticks simulated (Tick)
finalTick                                249746593500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7255.27                       # Real time elapsed on the host (Second)
hostTickRate                                 34422796                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264056                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   137831                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     156047                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        499493188                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.499493                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.002029                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1282445726                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1986                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1217798344                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3866                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            150284074                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         397710910                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 134                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           499383064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.438606                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.969450                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  87438386     17.51%     17.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  92969520     18.62%     36.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 110559476     22.14%     58.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  86225233     17.27%     75.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  41115967      8.23%     83.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  37950470      7.60%     91.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20763483      4.16%     95.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12647175      2.53%     98.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9713354      1.95%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             499383064                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2223994     15.01%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     15.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.01% # attempts to use FU when none available (Count)
