
---------- Begin Simulation Statistics ----------
simSeconds                                   0.250262                       # Number of seconds simulated (Second)
simTicks                                 250261635500                       # Number of ticks simulated (Tick)
finalTick                                250261635500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7213.78                       # Real time elapsed on the host (Second)
hostTickRate                                 34692144                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264056                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   138623                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     156944                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        500523272                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.500523                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.997909                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1353550416                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1942                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1270951754                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10554                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            221388720                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         515878076                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  90                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           500420985                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.539765                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.044710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  92718588     18.53%     18.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  88523714     17.69%     36.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  94506274     18.89%     55.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  75776158     15.14%     70.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  56717004     11.33%     81.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  50786587     10.15%     91.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16562849      3.31%     95.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12729515      2.54%     97.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12100296      2.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             500420985                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2978574     15.98%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.98% # attempts to use FU when none available (Count)
