
---------- Begin Simulation Statistics ----------
simSeconds                                   0.368848                       # Number of seconds simulated (Second)
simTicks                                 368847657000                       # Number of ticks simulated (Tick)
finalTick                                368847657000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2102.29                       # Real time elapsed on the host (Second)
hostTickRate                                175450178                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2256152                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1177819171                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   475671                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     560255                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        737695315                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.737695                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.355573                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1345415325                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      111                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1289089129                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3548                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            167596195                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         414954564                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  15                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           737674441                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.747504                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.213615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 349282144     47.35%     47.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  83214710     11.28%     58.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  83412835     11.31%     69.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  69342373      9.40%     79.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  51291051      6.95%     86.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  37301109      5.06%     91.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28721848      3.89%     95.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13846175      1.88%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  21262196      2.88%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             737674441                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5639281     75.61%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     75.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     75.61% # attempts to use FU when none available (Count)
