
---------- Begin Simulation Statistics ----------
simSeconds                                   0.365153                       # Number of seconds simulated (Second)
simTicks                                 365153434000                       # Number of ticks simulated (Tick)
finalTick                                365153434000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7422.50                       # Real time elapsed on the host (Second)
hostTickRate                                 49195510                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2228744                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000003                       # Number of instructions simulated (Count)
simOps                                     1177819170                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   134726                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     158682                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        730306869                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.730307                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.369287                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1318269909                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      113                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1282994765                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1781                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            140450785                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         316808109                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           730286294                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.756838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.217112                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 343769700     47.07%     47.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  82494370     11.30%     58.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  83889316     11.49%     69.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  68890340      9.43%     79.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  50685925      6.94%     86.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  36291887      4.97%     91.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29286436      4.01%     95.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  13697568      1.88%     97.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  21280752      2.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             730286294                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5920794     78.86%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     78.86% # attempts to use FU when none available (Count)
