
---------- Begin Simulation Statistics ----------
simSeconds                                   0.277736                       # Number of seconds simulated (Second)
simTicks                                 277735965000                       # Number of ticks simulated (Tick)
finalTick                                277735965000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7802.12                       # Real time elapsed on the host (Second)
hostTickRate                                 35597510                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264060                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   128170                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     145110                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        555471931                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.555472                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.800271                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1499585386                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1941                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1345428680                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11546                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            367423689                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         874945829                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           555373930                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.422564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.016491                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 120219730     21.65%     21.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  91844243     16.54%     38.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 100212470     18.04%     56.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  87573399     15.77%     72.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  62140597     11.19%     83.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  49907453      8.99%     92.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  22220643      4.00%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  11027371      1.99%     98.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10228024      1.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             555373930                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2501132     14.84%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.84% # attempts to use FU when none available (Count)
