
---------- Begin Simulation Statistics ----------
simSeconds                                   0.248921                       # Number of seconds simulated (Second)
simTicks                                 248920574000                       # Number of ticks simulated (Tick)
finalTick                                248920574000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6574.08                       # Real time elapsed on the host (Second)
hostTickRate                                 37863921                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264060                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   152112                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     172216                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        497841149                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.497841                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.008673                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1355183120                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1966                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1281754853                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8427                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            223021448                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         462625265                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 114                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           497742959                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.575134                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.057972                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  93263357     18.74%     18.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  79462219     15.96%     34.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  99004340     19.89%     54.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  78889456     15.85%     70.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  52536471     10.55%     81.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44921663      9.03%     90.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  23995731      4.82%     94.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  16470775      3.31%     98.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9198947      1.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             497742959                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2971261     13.34%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     13.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     13.34% # attempts to use FU when none available (Count)
