
---------- Begin Simulation Statistics ----------
simSeconds                                   0.232418                       # Number of seconds simulated (Second)
simTicks                                 232418199000                       # Number of ticks simulated (Tick)
finalTick                                232418199000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6808.79                       # Real time elapsed on the host (Second)
hostTickRate                                 34135031                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264056                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146869                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     166280                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        464836399                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.464836                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.151295                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1238331509                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1935                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1197496729                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5354                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            106169806                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         284827336                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  83                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           464736340                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.576723                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.928823                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  65542750     14.10%     14.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  93430176     20.10%     34.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  91256618     19.64%     53.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  79909478     17.19%     71.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  53869183     11.59%     82.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43480707      9.36%     91.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19861767      4.27%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   9311274      2.00%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   8074387      1.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             464736340                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2655086     17.87%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.87% # attempts to use FU when none available (Count)
