
---------- Begin Simulation Statistics ----------
simSeconds                                   0.241975                       # Number of seconds simulated (Second)
simTicks                                 241975441000                       # Number of ticks simulated (Tick)
finalTick                                241975441000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6778.36                       # Real time elapsed on the host (Second)
hostTickRate                                 35698241                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2264060                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1132163591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   147528                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     167026                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        483950883                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.483951                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.066325                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1302054791                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1937                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1229118541                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5882                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            169893090                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         458774406                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  85                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           483853707                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.540269                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.997905                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  80905667     16.72%     16.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  91557309     18.92%     35.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  94919255     19.62%     55.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  75780539     15.66%     70.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  54248998     11.21%     82.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  48118675      9.94%     92.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16835722      3.48%     95.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  10122930      2.09%     97.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11364612      2.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             483853707                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3690523     18.56%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.56% # attempts to use FU when none available (Count)
